Query_SNP	DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
rs429358	2022-09-27	34814699	Katz DH	2021-11-24	Circulation	www.ncbi.nlm.nih.gov/pubmed/34814699	Whole Genome Sequence Analysis of the Plasma Proteome in Black Adults Provides Novel Insights Into Cardiovascular Disease.	Apolipoprotein E (isoform E3) levels	1,852 African American or Afro-Caribbean individuals	1,688 African American or Afro-Caribbean, Hispanic or Latin American, Asian ancestry, European ancestry individuals	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	1E-34	34.0		0.42	[0.36-0.48] unit increase	Illumina [NR]	N	apolipoprotein E (isoform E3) measurement	http://www.ebi.ac.uk/efo/EFO_0020157	GCST90137693	Genome-wide sequencing
rs429358	2022-09-27	34814699	Katz DH	2021-11-24	Circulation	www.ncbi.nlm.nih.gov/pubmed/34814699	Whole Genome Sequence Analysis of the Plasma Proteome in Black Adults Provides Novel Insights Into Cardiovascular Disease.	Apolipoprotein E (isoform E4) levels	1,852 African American or Afro-Caribbean individuals	1,688 African American or Afro-Caribbean, Hispanic or Latin American, Asian ancestry, European ancestry individuals	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	8E-29	28.096910013008056		0.38	[0.32-0.44] unit increase	Illumina [NR]	N	apolipoprotein E (isoform E4) measurement	http://www.ebi.ac.uk/efo/EFO_0020158	GCST90137694	Genome-wide sequencing
rs429358	2022-09-27	34814699	Katz DH	2021-11-24	Circulation	www.ncbi.nlm.nih.gov/pubmed/34814699	Whole Genome Sequence Analysis of the Plasma Proteome in Black Adults Provides Novel Insights Into Cardiovascular Disease.	Neutrophil collagenase levels	1,852 African American or Afro-Caribbean individuals	1,688 African American or Afro-Caribbean, Hispanic or Latin American, Asian ancestry, European ancestry individuals	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	5E-35	34.30102999566398		0.45	[0.37-0.53] unit increase	Illumina [NR]	N	neutrophil collagenase level	http://purl.obolibrary.org/obo/OBA_2045339	GCST90137939	Genome-wide sequencing
rs429358	2021-12-16	34841290	Ghodsian N	2021-11-03	Cell Rep Med	www.ncbi.nlm.nih.gov/pubmed/34841290	Electronic health record-based genome-wide meta-analysis provides insights on the genetic architecture of non-alcoholic fatty liver disease.	Nonalcoholic fatty liver disease	8,434 European ancestry cases, 770,180 European ancestry controls	NA	19q13.32	19	44908684	APOE	APOE			ENSG00000130203			rs429358-C	rs429358	0	429358	missense_variant	0	NR	1E-8	8.0		0.1366	[0.09-0.183] unit decrease	NR [6787908] (imputed)	N	metabolic dysfunction-associated steatotic liver disease	http://purl.obolibrary.org/obo/MONDO_0013209	GCST90091033	Genome-wide genotyping array
rs429358	2023-04-03	34648354	Pietzner M	2021-11-12	Science	www.ncbi.nlm.nih.gov/pubmed/34648354	Mapping the proteo-genomic convergence of human diseases.	ADP-ribosylation factor-like protein 1 levels	10,708 European ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.85	4E-17	16.397940008672037		0.151	[0.12-0.19] unit increase	Affymetrix, Illumina [10200000] (imputed)	N	ADP-ribosylation factor-like protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0801354	GCST90246572	Genome-wide genotyping array
rs429358	2022-09-27	34814699	Katz DH	2021-11-24	Circulation	www.ncbi.nlm.nih.gov/pubmed/34814699	Whole Genome Sequence Analysis of the Plasma Proteome in Black Adults Provides Novel Insights Into Cardiovascular Disease.	Apolipoprotein E levels	1,852 African American or Afro-Caribbean individuals	1,688 African American or Afro-Caribbean, Hispanic or Latin American, Asian ancestry, European ancestry individuals	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	1E-39	39.0		0.45	[0.39-0.51] unit increase	Illumina [NR]	N	apolipoprotein E measurement	http://www.ebi.ac.uk/efo/EFO_0008029	GCST90137536	Genome-wide sequencing
rs429358	2022-09-27	34814699	Katz DH	2021-11-24	Circulation	www.ncbi.nlm.nih.gov/pubmed/34814699	Whole Genome Sequence Analysis of the Plasma Proteome in Black Adults Provides Novel Insights Into Cardiovascular Disease.	Apolipoprotein E (isoform E2) levels	1,852 African American or Afro-Caribbean individuals	1,688 African American or Afro-Caribbean, Hispanic or Latin American, Asian ancestry, European ancestry individuals	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	5E-43	42.30102999566398		0.47	[0.41-0.53] unit increase	Illumina [NR]	N	apolipoprotein E isoform E2 measurement	http://www.ebi.ac.uk/efo/EFO_0008028	GCST90137537	Genome-wide sequencing
rs429358	2023-04-03	34648354	Pietzner M	2021-11-12	Science	www.ncbi.nlm.nih.gov/pubmed/34648354	Mapping the proteo-genomic convergence of human diseases.	Nucleosome-remodeling factor subunit BPTF levels	10,708 European ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.85	6E-49	48.221848749616356		0.281	[0.24-0.32] unit increase	Affymetrix, Illumina [10200000] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90248753	Genome-wide genotyping array
rs429358	2023-04-03	34648354	Pietzner M	2021-11-12	Science	www.ncbi.nlm.nih.gov/pubmed/34648354	Mapping the proteo-genomic convergence of human diseases.	Platelet-activating factor acetylhydrolase levels	10,708 European ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.85	1E-64	64.0		0.319	[0.28-0.36] unit decrease	Affymetrix, Illumina [10200000] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90248843	Genome-wide genotyping array
rs429358	2022-03-22	34785643	Park JY	2021-11-16	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/34785643	A missense variant in SHARPIN mediates Alzheimer's disease-specific brain damages.	Hippocampal volume	2,643 Korean ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-C	rs429358	0	429358	missense_variant	0	0.11	1E-15	15.0		0.3	[0.22-0.38] unit decrease	NR [3930740] (imputed)	N	hippocampal volume	http://www.ebi.ac.uk/efo/EFO_0005035	GCST90095658	Genome-wide genotyping array
rs429358	2022-03-22	34785643	Park JY	2021-11-16	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/34785643	A missense variant in SHARPIN mediates Alzheimer's disease-specific brain damages.	Entorhinal cortical thickness	2,643 Korean ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-C	rs429358	0	429358	missense_variant	0	0.11	1E-9	9.0		0.25	[0.17-0.33] unit decrease	NR [3930740] (imputed)	N	cortical thickness	http://www.ebi.ac.uk/efo/EFO_0004840	GCST90095659	Genome-wide genotyping array
rs429358	2022-03-22	34785643	Park JY	2021-11-16	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/34785643	A missense variant in SHARPIN mediates Alzheimer's disease-specific brain damages.	Superior frontal cortical thickness	2,643 Korean ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-C	rs429358	0	429358	missense_variant	0	0.11	1E-8	8.0		0.24	[0.16-0.32] unit decrease	NR [3930740] (imputed)	N	cortical thickness	http://www.ebi.ac.uk/efo/EFO_0004840	GCST90095660	Genome-wide genotyping array
rs429358	2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Angina pectoris	30,025 European ancestry cases, 440,906 European ancestry controls, 14,007 East Asian ancestry cases, 145,158 East Asian ancestry controls	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-C	rs429358	0	429358	missense_variant	0	NR	1E-16	16.0		0.0937	[0.072-0.116] unit increase	Affymetrix, Illumina [25842036] (imputed)	N	angina pectoris	http://www.ebi.ac.uk/efo/EFO_0003913	GCST90018793	Genome-wide genotyping array
rs429358	2021-08-24	34021172	Christakoudi S	2021-05-21	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/34021172	GWAS of allometric body-shape indices in UK Biobank identifies loci suggesting associations with morphogenesis, organogenesis, adrenal cell renewal and cancer.	Waist-to-hip ratio adjusted for BMI	219,872 British ancestry women	NA	19q13.32	19	44908684	APOE	APOE			ENSG00000130203			rs429358-C	rs429358	0	429358	missense_variant	0	NR	2E-11	10.698970004336019		0.0262381	[0.019-0.034] unit decrease	Affymetrix [319769] (imputed)	N	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	GCST90020025	Genome-wide genotyping array
rs429358	2023-04-03	34648354	Pietzner M	2021-11-12	Science	www.ncbi.nlm.nih.gov/pubmed/34648354	Mapping the proteo-genomic convergence of human diseases.	Vacuolar protein sorting-associated protein 29 levels	10,708 European ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.85	7E-176	175.15490195998575		0.517	[0.48-0.55] unit increase	Affymetrix, Illumina [10200000] (imputed)	N	vacuolar protein sorting-associated protein 29 measurement	http://www.ebi.ac.uk/efo/EFO_0802207	GCST90250187	Genome-wide genotyping array
rs429358	2022-06-06	34906840	Trinder M	2021-12-06	Atherosclerosis	www.ncbi.nlm.nih.gov/pubmed/34906840	Polygenic architecture and cardiovascular risk of familial combined hyperlipidemia.	Familial combined hyperlipidemia defined by Consensus criteria	39,961 British ancestry cases, 309,261 British ancestry controls	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.844393	3E-226	225.52287874528034		0.321864	[0.3-0.34] unit decrease	Affymetrix [8802648] (imputed)	N	familial hyperlipidemia	http://purl.obolibrary.org/obo/MONDO_0001336	GCST90104006	Genome-wide genotyping array
rs429358	2023-04-03	34648354	Pietzner M	2021-11-12	Science	www.ncbi.nlm.nih.gov/pubmed/34648354	Mapping the proteo-genomic convergence of human diseases.	Regulator of G-protein signaling 7 levels	10,708 European ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.85	2E-16	15.698970004336019		0.158	[0.12-0.2] unit decrease	Affymetrix, Illumina [10200000] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90249308	Genome-wide genotyping array
rs429358	2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Alanine aminotransferase levels	344,136 European ancestry individuals, 150,545 East Asian ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-C	rs429358	0	429358	missense_variant	0	NR	4E-40	39.39794000867204		0.0359	[0.031-0.041] unit decrease	Affymetrix, Illumina [20538387] (imputed)	N	serum alanine aminotransferase amount	http://purl.obolibrary.org/obo/OBA_2050062	GCST90018943	Genome-wide genotyping array
rs429358	2023-04-03	34648354	Pietzner M	2021-11-12	Science	www.ncbi.nlm.nih.gov/pubmed/34648354	Mapping the proteo-genomic convergence of human diseases.	Integral membrane protein 2B levels	10,708 European ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.85	8E-16	15.096910013008056		0.151	[0.11-0.19] unit decrease	Affymetrix, Illumina [10200000] (imputed)	N	integral membrane protein 2B measurement	http://www.ebi.ac.uk/efo/EFO_0802634	GCST90248138	Genome-wide genotyping array
rs429358	2023-04-03	34648354	Pietzner M	2021-11-12	Science	www.ncbi.nlm.nih.gov/pubmed/34648354	Mapping the proteo-genomic convergence of human diseases.	Heparan sulfate glucosamine 3-O-sulfotransferase 5 levels	10,708 European ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.85	2E-12	11.698970004336019		0.128	[0.093-0.163] unit increase	Affymetrix, Illumina [10200000] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90247951	Genome-wide genotyping array
rs429358	2023-04-03	34648354	Pietzner M	2021-11-12	Science	www.ncbi.nlm.nih.gov/pubmed/34648354	Mapping the proteo-genomic convergence of human diseases.	Inactive gamma-glutamyltranspeptidase 2 levels	10,708 European ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.85	4E-225	224.39794000867204		0.577	[0.54-0.61] unit increase	Affymetrix, Illumina [10200000] (imputed)	N	inactive gamma-glutamyltranspeptidase 2 measurement	http://www.ebi.ac.uk/efo/EFO_0801692	GCST90248017	Genome-wide genotyping array
rs429358	2023-04-03	34648354	Pietzner M	2021-11-12	Science	www.ncbi.nlm.nih.gov/pubmed/34648354	Mapping the proteo-genomic convergence of human diseases.	Small nuclear ribonucleoprotein F levels	10,708 European ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.85	9E-109	108.04575749056067		0.416	[0.38-0.45] unit increase	Affymetrix, Illumina [10200000] (imputed)	N	small nuclear ribonucleoprotein F amount	http://purl.obolibrary.org/obo/OBA_2050299	GCST90249595	Genome-wide genotyping array
rs429358	2023-04-03	34648354	Pietzner M	2021-11-12	Science	www.ncbi.nlm.nih.gov/pubmed/34648354	Mapping the proteo-genomic convergence of human diseases.	Leucine-rich repeat neuronal protein 1 levels	10,708 European ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.85	8E-1394	1393.096910013008		1.217	[1.19-1.25] unit decrease	Affymetrix, Illumina [10200000] (imputed)	N	leucine-rich repeat neuronal protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0801760	GCST90248334	Genome-wide genotyping array
rs429358	2022-11-17	34887591	Graham SE	2021-12-09	Nature	www.ncbi.nlm.nih.gov/pubmed/34887591	The power of genetic diversity in genome-wide association studies of lipids.	High density lipoprotein cholesterol levels	40,963 South Asian ancestry individuals, 48,057 Hispanic individuals, 99,432 Admixed African or African ancestry individuals, 146,492 East Asian ancestry individuals, 1,320,016 European ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	1E-497	497.0				NR [52000000] (imputed)	N	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST90239649	Genome-wide genotyping array
rs429358	2020-03-23	31900758	Han X	2020-01-03	Eur J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/31900758	Using Mendelian randomization to evaluate the causal relationship between serum C-reactive protein levels and age-related macular degeneration.	C-reactive protein levels	418,642 British ancestry individuals	NA	19q13.32	19	44908684	NR	APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.8442	2E-1953	1952.698970004336		0.26396	[0.26-0.27] unit increase	NR [NR]	N	C-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	GCST009777	Genome-wide genotyping array
rs429358	2020-07-08	32066663	Niarchou M	2020-02-03	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/32066663	Genome-wide association study of dietary intake in the UK biobank study and its associations with schizophrenia and other traits.	Meat-related diet	154,123 European ancestry men, 181,453 European ancestry women	NA	19q13.32	19	44908684	PVRL2, TOMM40, APOE, APOC1	APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	5E-13	12.301029995663981		0.0242948	[0.018-0.031] unit increase	Affymetrix [25921788] (imputed)	N	diet measurement	http://www.ebi.ac.uk/efo/EFO_0008111	GCST010143	Genome-wide genotyping array
rs429358	2020-07-08	32066663	Niarchou M	2020-02-03	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/32066663	Genome-wide association study of dietary intake in the UK biobank study and its associations with schizophrenia and other traits.	Meat-related diet	154,123 European ancestry men, 181,453 European ancestry women	NA	19q13.32	19	44908684	PVRL2, TOMM40, APOE, APOC1	APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	1E-8	8.0	(female)	0.0261231	[0.017-0.035] unit increase	Affymetrix [25921788] (imputed)	N	diet measurement	http://www.ebi.ac.uk/efo/EFO_0008111	GCST010143	Genome-wide genotyping array
rs429358	2020-07-08	32066663	Niarchou M	2020-02-03	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/32066663	Genome-wide association study of dietary intake in the UK biobank study and its associations with schizophrenia and other traits.	Lamb consumption	335,576 European ancestry individuals	NA	19q13.32	19	44908684	PVRL2, TOMM40, APOE, APOC1	APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	5E-12	11.301029995663981		0.0232225	[0.017-0.03] unit increase	Affymetrix [25921788] (imputed)	N	diet measurement	http://www.ebi.ac.uk/efo/EFO_0008111	GCST010133	Genome-wide genotyping array
rs429358	2020-04-17	31669095	Zhu Z	2019-10-24	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/31669095	Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.	Adult onset asthma or type 2 diabetes	33,418 European ancestry asthma cases, 393,186 European ancestry asthma controls, 159,208 European ancestry diabetes cases and controls	NA	19q13.32	19	44908684	NR	APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	2E-10	9.698970004336019				Affymetrix [up to 8270000] (imputed)	N	adult onset asthma, type 2 diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_1002011, http://purl.obolibrary.org/obo/MONDO_0005148	GCST009859	Genome-wide genotyping array
rs429358	2022-10-24	32150548	Riveros-Mckay F	2020-03-09	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/32150548	The influence of rare variants in circulating metabolic biomarkers.	Phospholipids to total lipids ratio in small LDL	7,142 European ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.15	5E-33	32.30102999566398		0.27	[0.23-0.31] unit increase	NR [NR]	N	low density lipoprotein cholesterol measurement, phospholipids:total lipids ratio	http://www.ebi.ac.uk/efo/EFO_0004611, http://www.ebi.ac.uk/efo/EFO_0020946	GCST90179211	Genome-wide sequencing, Exome-wide sequencing
rs429358	2020-04-17	31669095	Zhu Z	2019-10-24	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/31669095	Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.	Waist-to-hip ratio adjusted for BMI	457,690 European ancestry individuals	NA	19q13.32	19	44908684	NR	APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	3E-19	18.522878745280337				Affymetrix [~ 8270000] (imputed)	N	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	GCST009858	Genome-wide genotyping array
rs429358	2020-09-14	32541925	Vujkovic M	2020-06-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/32541925	Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.	Type 2 diabetes	148,726 European ancestry cases, 24,646 African American cases, 8,616 Hispanic cases, 46,511 Asian ancestry cases, 965,732 European ancestry controls, 31,446 African American controls, 11,829 Hispanic controls, 169,776 Asian ancestry controls	NA	19q13.32	19	44908684	NR	APOE			ENSG00000130203			rs429358-C	rs429358	0	429358	missense_variant	0	0.1469	2E-26	25.69897000433602		0.0585	[0.048-0.069] unit decrease	Affymetrix, Illumina [at least 945603] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST010557	Genome-wide genotyping array
rs429358	2020-09-14	32541925	Vujkovic M	2020-06-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/32541925	Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.	Type 2 diabetes	148,726 European ancestry cases, 965,732 European ancestry controls	NA	19q13.32	19	44908684	NR	APOE			ENSG00000130203			rs429358-C	rs429358	0	429358	missense_variant	0	0.1454	4E-28	27.397940008672037		0.073	[0.06-0.086] unit decrease	Affymetrix, Illumina [1198787] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST010555	Genome-wide genotyping array
rs429358	2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	19q13.32	19	44908684	APOE	APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.8533	1E-126	126.0				NR [7320282]	N	healthspan, parental longevity, life span determination trait	http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796, http://purl.obolibrary.org/obo/OBA_VT0005372	GCST011100	Genome-wide genotyping array
rs429358	2021-06-29	32895543	de la Fuente J	2020-09-07	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/32895543	A general dimension of genetic sharing across diverse cognitive traits inferred from molecular data.	Executive function (trail making test B)	78,547 British ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	2E-13	12.698970004336019				NR [7857346] (imputed)	N	executive function measurement	http://www.ebi.ac.uk/efo/EFO_0009332	GCST90011296	Genome-wide genotyping array
rs429358	2021-06-29	32895543	de la Fuente J	2020-09-07	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/32895543	A general dimension of genetic sharing across diverse cognitive traits inferred from molecular data.	Information processing speed (symbol digit substitution)	87,741 British ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	2E-18	17.69897000433602				NR [7857346] (imputed)	N	information processing speed	http://www.ebi.ac.uk/efo/EFO_0004363	GCST90011297	Genome-wide genotyping array
rs429358	2021-04-30	32928877	Jung SY	2020-09-14	Cancer Prev Res (Phila)	www.ncbi.nlm.nih.gov/pubmed/32928877	Genome-wide association analysis of pro-inflammatory cytokines and gene-lifestyle interaction for invasive breast cancer risk: the WHI dbGaP Study.	Serum C-reactive protein concentration	10,798 European ancestry women	NA	19q13.32	19	44908684	APOE	APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	8E-10	9.096910013008056		0.76	[NR]	Affymetrix, Illumina [21784812] (imputed)	N	C-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	GCST011583	Genome-wide genotyping array
rs429358	2019-08-15	31055733	Nazarian A	2019-05-05	Geroscience	www.ncbi.nlm.nih.gov/pubmed/31055733	Genetic heterogeneity of Alzheimer's disease in subjects with and without hypertension.	Alzheimer's disease in hypertension-negative individuals	796 European ancestry cases, 4,010 European ancestry controls	NA	19q13.32	19	44908684	TOMM40, PVRL2, APOE, APOC1, BCAM	APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	0.210	2E-30	29.69897000433602		5.24	[5.19-5.29]	NR [~ 2000000] (imputed)	N	Alzheimer disease	http://purl.obolibrary.org/obo/MONDO_0004975	GCST008437	Genome-wide genotyping array
rs429358	2019-08-15	31055733	Nazarian A	2019-05-05	Geroscience	www.ncbi.nlm.nih.gov/pubmed/31055733	Genetic heterogeneity of Alzheimer's disease in subjects with and without hypertension.	Alzheimer's disease in hypertension	1,262 European ancestry cases,  9,608 European ancestry controls	NA	19q13.32	19	44908684	APOE, PVRL2, TOMM40, APOC1, BCAM	APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	0.147	6E-43	42.221848749616356		3.26	[3.21-3.31]	NR [~ 2000000] (imputed)	N	Alzheimer disease	http://purl.obolibrary.org/obo/MONDO_0004975	GCST008438	Genome-wide genotyping array
rs429358	2019-06-03	31065058	Rongve A	2019-05-07	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/31065058	GBA and APOE ε4 associate with sporadic dementia with Lewy bodies in European genome wide association study.	Dementia with Lewy bodies	720 European ancestry cases, 6,490 European ancestry controls	108 European ancestry cases, 75,545 European ancestry controls	19q13.32	19	44908684	APOE	APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	6E-17	16.221848749616356		2.28	[NR]	Illumina [6963063] (imputed)	N	Lewy body dementia	http://purl.obolibrary.org/obo/MONDO_0007488	GCST007881	Genome-wide genotyping array
rs429358	2020-07-21	32203549	Richardson TG	2020-03-23	PLoS Med	www.ncbi.nlm.nih.gov/pubmed/32203549	Evaluating the relationship between circulating lipoprotein lipids and apolipoproteins with risk of coronary heart disease: A multivariable Mendelian randomisation analysis.	HDL cholesterol levels	403,943 European ancestry individuals	NA	19q13.32	19	44908684	APOE	APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.845675	7E-180	179.15490195998575		0.0754686	[0.07-0.081] unit increase	Affymetrix [NR] (imputed)	N	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST010242	Genome-wide genotyping array
rs429358	2025-04-24	32242144	Revez JA	2020-04-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32242144	Genome-wide association study identifies 143 loci associated with 25 hydroxyvitamin D concentration.	Serum 25-Hydroxyvitamin D levels	496,946 European ancestry individuals	NA	19q13.32	19	44908684		APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	1E-15	15.0		0.0232636	[-0.029--0.018] unit decrease	NR [6912294] (imputed)	N	vitamin D level	http://purl.obolibrary.org/obo/OBA_1000968	GCST90000618	Genome-wide genotyping array
rs429358	2020-05-28	32231278	Hysi PG	2020-03-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/32231278	Meta-analysis of 542,934 subjects of European ancestry identifies new genes and mechanisms predisposing to refractive error and myopia.	Refractive error	542,934 European ancestry individuals	NA	19q13.32	19	44908684	PVRL2, TOMM40, APOE, APOC1	APOE			ENSG00000130203			rs429358-?	rs429358	0	429358	missense_variant	0	NR	3E-17	16.522878745280337				Affymetrix, Illumina [NR] (imputed)	N	Abnormality of refraction	http://purl.obolibrary.org/obo/HP_0000539	GCST010002	Genome-wide genotyping array
